United States,/m/09c7w0
Brazil,/m/015fr
Russia,/m/06bnz
India,/m/03rk0
Peru,/m/016wzw
Chile,/m/01p1v
United Kingdom,/m/07ssc
Mexico,/m/0b90_r
Spain,/m/06mkj
Italy,/m/03rjj
Iran,/m/03shp
Pakistan,/m/05sb1
Saudi Arabia,/m/01z215
Turkey,/m/01znc_
Germany,/m/0345h
South Africa,/m/0hzlz
France,/m/0f8l9c
Bangladesh,/m/0162b
Colombia,/m/01ls2
Canada,/m/0d060g
Qatar,/m/0697s
China,/m/0fbp0
Argentina,/m/0jgd
Egypt,/m/02k54
Sweden,/m/0d0vqn
Indonesia,/m/03ryn
Belarus,/m/0163v
Belgium,/m/0154j
Ecuador,/m/02k1b
Iraq,/m/0d05q4
United Arab Emirates,/m/0j1z8
Netherlands,/m/059j2
Kuwait,/m/047yc
Ukraine,/m/07t21
Kazakhstan,/m/047lj
Oman,/m/05l8y
Singapore,/m/06t2t
Philippines,/m/05v8c
Portugal,/m/05r4w
Bolivia,/m/0165v
Panama,/m/05qx1
Dominican Republic,/m/027rn
Poland,/m/05qhw
Afghanistan,/m/0jdd
Switzerland,/m/06mzp
Israel,/m/03spz
Romania,/m/06c1y
Bahrain,/m/0161c
Armenia,/m/0jgx
Nigeria,/m/05cgv
Ireland,/m/03rt9
Honduras,/m/03h2c
Guatemala,/m/0345_
Azerbaijan,/m/0jhd
Ghana,/m/035dk
Japan,/m/03_3d
Austria,/m/0h7x
Moldova,/m/04w4s
Serbia,/m/077qn
Algeria,/m/0h3y
Nepal,/m/016zwt
Morocco,/m/04wgh
Cameroon,/m/01nln
South Korea,/m/06qd3
Denmark,/g/121p5z1h
Czechia,/m/01mjq
Cote d'Ivoire,/m/0fv4v
Uzbekistan,/m/07t_x
Sudan,/m/06tw8
Norway,/m/05b4w
Malaysia,/m/09pmkv
Australia,/m/0chghy
Kenya,/m/019rg5
El Salvador,/m/02k8k
Congo - Kinshasa,/m/088xp
Senegal,/m/06srk
Kyrgyzstan,/m/0jt3tjf
Finland,/m/02vzc
North Macedonia,/m/0bjv6
Venezuela,/m/07ylj
Haiti,/m/03gyl
Ethiopia,/m/019pcs
Tajikistan,/m/07dvs
Bulgaria,/m/015qh
Gabon,/m/03548
Guinea,/m/03676
Bosnia and Herzegovina,/m/0166b
French Guiana,/m/02x21
Mauritania,/m/04vjh
Djibouti,/m/027jk
Costa Rica,/m/01p8s
Luxembourg,/m/04g61
Hungary,/m/03gj2
Central African Republic,/m/01nyl
Palestine,/m/01k0p4
Greece,/m/035qy
Kosovo,/m/04fh3
Thailand,/m/07f1x
Croatia,/m/01pj7
Equatorial Guinea,/m/02kcz
Somalia,/m/06tgw
Albania,/m/0jdx
Mayotte,/m/04vws
Madagascar,/m/04sj3
Maldives,/m/04ty8
Paraguay,/m/05v10
Cuba,/m/0d04z6
Mali,/m/04v09
Nicaragua,/m/05c74
Sri Lanka,/m/06m_5
South Sudan,/m/05rznz
Estonia,/m/02kmm
Iceland,/m/03rj0
Lebanon,/m/04hqz
Lithuania,/m/04gzd
Guinea-Bissau,/m/036b_
Slovakia,/m/06npd
Slovenia,/m/06t8v
Zambia,/m/088vb
Malawi,/m/04tr1
Congo - Brazzaville,/m/01rxw
Sierra Leone,/m/06s_2
New Zealand,/m/0ctw_b
Cape Verde,/m/01nqj
Hong Kong,/m/03h64
Yemen,/m/01z88t
Benin,/m/0164v
Tunisia,/m/07fj_
Jordan,/m/03__y
Latvia,/m/04g5k
Niger,/m/05cc1
Rwanda,/m/06dfg
Cyprus,/m/01ppq
Libya,/m/04gqr
Burkina Faso,/m/01699
Uruguay,/m/07twz
Georgia,/m/0d0kn
Mozambique,/m/04wlh
Uganda,/m/07tp2
Eswatini,/m/06v36
Chad,/m/01p1b
Andorra,/m/0hg5
Liberia,/m/04hzj
Jamaica,/m/03_r3
Sao Tome and Principe,/m/0j681
San Marino,/m/06sff
Togo,/m/07f5x
Malta,/m/04v3q
Montenegro,/m/056vv
Zimbabwe,/m/088q4
Suriname,/m/06nnj
Reunion,/m/0lxhj
Western Sahara,/m/082qk
Tanzania,/m/07dzf
Taiwan,/m/06f32
Namibia,/m/05bmq
Syria,/m/06vbd
Vietnam,/m/01crd5
Angola,/m/0j4b
Mauritius,/m/04vs9
Isle of Man,/m/03t1s
Jersey,/m/03_xj
Comoros,/m/01n6c
Myanmar (Burma),/m/04xn_
Botswana,/m/0166v
Guyana,/m/034m8
Guernsey,/g/11bwcf6rz5
Guernsey,/m/0366c
Martinique,/m/04vg8
Mongolia,/m/04w8f
Eritrea,/m/02khs
Cayman Islands,/m/01nty
Burundi,/m/0169t
Faroe Islands,/m/02w9s
Guadeloupe,/m/037nm
Gibraltar,/m/035hm
Bermuda,/m/0165b
Brunei,/m/0167v
Cambodia,/m/01xbgx
Trinidad and Tobago,/m/09lxtg
Northern Cyprus,/m/01nx28
Monaco,/m/04w58
Aruba,/m/0j11
The Bahamas,/m/0160w
Barbados,/m/0162v
Liechtenstein,/m/04j53
Seychelles,/m/06sw9
Sint Maarten,/m/02phz12
Bhutan,/m/07bxhl
Antigua and Barbuda,/m/0l3h
Lesotho,/m/04hvw
French Polynesia,/m/02wzv
The Gambia,/m/0hdx8
Turks and Caicos Islands,/m/07fr_
Macao,/m/04thp
Saint Martin,/m/02phy_9
Belize,/m/0164b
Saint Vincent and Grenadines,/m/06s6l
Curacao,/m/0hbgh
Timor-Leste,/m/02lx0
Grenada,/m/035yg
Saint Lucia,/m/06s0l
New Caledonia,/m/05c17
Aland Islands,/m/014mxp
Laos,/m/04hhv
Dominica,/m/027nb
Fiji,/m/02wt0
Saint Kitts and Nevis,/m/06ryl
Falkland Islands,/m/02wmy
Greenland,/m/035v3
Vatican City,/m/07ytt
Montserrat,/m/04wcf
Papua New Guinea,/m/05qkp
British Virgin Islands,/m/0168t
Caribbean Netherlands,/m/0bwhs8r
Saint Barthelemy,/m/0h7f9
Anguilla,/m/0n3g
Saint Pierre and Miquelon,/m/06s4c
Bouvet Island,/g/1ptyzlhlm
British Indian Ocean Territory,/m/0168b
Turkmenistan,/m/01c4pv
Svalbard and Jan Mayen,/m/01glxj
Solomon Islands,/m/01n8qg
Christmas Island,/m/01p5l
Cocos (Keeling) Islands,/m/01p6l
Cook Islands,/m/020p1
French Southern and Antarctic Lands,/m/02x1k
Federated States of Micronesia,/m/03188
Heard Island and McDonald Islands,/m/03h1f
Kiribati,/m/047t_
Marshall Islands,/m/04v6v
Niue,/m/05b2h
North Korea,/m/05b7q
Nauru,/m/05br2
Norfolk Island,/m/05cqm
Palau,/m/05tr7
Pitcairn Islands,/m/05vd5
Samoa,/m/06s9y
South Georgia and the South Sandwich Islands,/m/06tnn
Antarctica,/m/06wc8yw
Tokelau,/m/07f9q
Tonga,/m/07fb6
Tuvalu,/m/07fsv
United States Minor Outlying Islands,/m/07x4w
Vanuatu,/m/07z5n
Saint Helena,/m/080pfr5
Wallis and Futuna,/m/082nw
